,Mkt-RF,SMB,HML,RMW,CMA,RF,excess_returns
2022-10-18,1.19,-0.13,-0.02,-0.41,0.02,0.011,0.011526889459059341
2022-10-19,-0.87,-1.18,1.19,0.71,0.81,0.011,-0.04260918936492318
2022-10-20,-0.8,-0.32,-0.45,-0.61,0.13,0.011,-0.038695325665640476
2022-10-21,2.3,-0.07,0.09,0.68,-0.3,0.011,0.020536156869045318
2022-10-24,1.04,-0.61,0.47,1.14,0.54,0.011,-0.00409667727276607
2022-10-25,1.78,1.01,-1.53,-1.22,-1.34,0.011,0.04972476819222495
2022-10-26,-0.66,0.7,0.9,-0.73,0.69,0.011,0.012084026016728654
2022-10-27,-0.54,0.44,1.08,-0.3,0.47,0.011,-0.003779790229520564
2022-10-28,2.33,0.09,-0.34,0.4,0.66,0.011,0.019465963910092154
2022-10-31,-0.68,0.46,0.73,-0.22,0.44,0.011,0.0046522004500678775
2022-11-01,-0.35,0.45,0.8,0.02,0.54,0.014,0.006547925072554429
2022-11-02,-2.67,-0.84,1.6,0.31,1.16,0.014,-0.05762419919760152
2022-11-03,-1.03,0.39,0.28,-0.04,0.04,0.014,0.0675789768680435
2022-11-04,1.16,-0.25,1.28,2.33,0.65,0.014,-0.01805516553481344
2022-11-07,0.87,-0.33,0.6,1.1,1.01,0.014,-0.03435830663161675
2022-11-08,0.51,-0.53,-0.4,-0.16,0.05,0.014,-0.20435744078835816
2022-11-09,-2.24,-0.49,0.55,0.96,1.23,0.014,-0.15157702095244063
2022-11-10,5.68,0.96,-3.1,-0.64,-2.92,0.014,0.08957153318366708
2022-11-11,1.06,0.14,-1.05,-0.9,-1.22,0.014,0.11544981121981836
2022-11-14,-0.95,-0.23,0.36,0.57,0.54,0.014,-0.1009149784339357
2022-11-15,1.03,0.43,-0.73,-0.49,-0.54,0.014,0.04771539466702525
2022-11-16,-1.02,-1.07,0.58,1.16,0.95,0.014,-0.09577339457144095
2022-11-17,-0.42,-0.27,0.56,1.36,0.81,0.014,0.0020944825232010033
2022-11-18,0.4,-0.09,0.11,0.38,0.71,0.014,-0.043567125528007775
2022-11-21,-0.52,-0.2,0.99,0.5,1.14,0.014,-0.050996650102065985
2022-11-22,1.36,-0.38,0.44,0.78,-0.23,0.014,0.013118617036523407
2022-11-23,0.63,-0.25,-0.93,-0.73,-0.62,0.014,0.026704057134008266
2022-11-25,-0.03,0.28,0.43,-0.17,0.13,0.014,-0.021399544877584428
2022-11-28,-1.55,-0.49,-0.19,0.26,0.29,0.014,-0.03529933499754066
